user_id,book_id_list
27840,"8369,18790,34134,170357,283586,867246,1240867,1292132,1871112,1918727,1947821,2182696,2216349,2241332,2300795,2465924,2473996,2523793,2575827,3766759"
28101,"103890,220899,272375,428685,709075,1035814,1046376,1348175,1360858,1757592,1796985,1856383,1876718,1902534,2318816,2333509,2358415,2578065,2599190,4170322"
28301,"308937,317577,430797,435424,1572708,2388641,2388642,2552064,3534874,3693046,4394638,4554862,4686493,4695502,4740676,4779625,4878553,5114104,5158654,5200684"
28631,"122479,272375,434096,504247,722880,840500,975284,1702508,2180196,2195786,2214811,2286120,2391765,2407015,2444514,2458413,2525634,2588011,2600001,4341919"
28651,"6892,34134,170357,306238,420807,433856,671011,709075,828221,998313,1214828,1353512,2079190,2178756,2186305,2364305,2424516,2550423,2592020,8467358"
29221,"198057,316511,445415,509690,570428,1725433,1966628,2016553,2167214,2236326,2248720,2281606,2300093,2323366,2323367,2419989,2435077,2463430,2527684,2551767,2628270,2892283,2988373,3108046,3758299,4270858,4521397,4685497,5316349"
29371,"6892,11936,361725,463181,709075,1035814,1074574,1593487,1856383,2352976,2364305,2370751,2403555,2463719,2476202,2600001,4210483,4528741,4600447,5260342"
30170,"5041,6034,316274,448010,509293,531550,991769,1235522,1326209,1918727,1960625,2142446,2317113,2486212,2523793,2580687,2896486,3912373,4363726,5679028"
30780,"6101,37177,113763,118723,246137,435265,463172,487021,853693,999574,1033261,1902534,2365477,2425291,2455034,2531556,3469054,3706498,3720946,4268824"
31221,"715,31876,126927,186036,200487,481572,567105,716862,1122588,1122607,1319281,1345763,1725380,2189924,2340191,2579670,3814018,4686493,5133061,8467358"
31250,"8378,122054,454134,459282,473795,498260,620361,625734,722880,971769,1118435,1836702,1858824,2231328,2236238,2254913,2287741,2294752,2300795,2599190"
31451,"217236,395324,448170,568691,675671,693796,971586,1100906,1235097,2053462,2168794,2254200,2287749,2339774,2356559,2377730,2577789,3508963,4007959,4600747"
31581,"5228,31099,32914,38714,210474,211871,215815,272573,287221,447752,468306,481572,485332,520845,716862,2150340,2303346,2323743,2407015,4210483"
32070,"118528,305761,310062,312341,314407,326658,445415,646028,686465,1367817,1524389,1581812,1742704,1807908,1932068,2124031,2344935,2460999,2465183,5163778,5321515"
32471,"32273,190497,196603,216878,221043,247954,276226,308655,389215,459282,459818,463181,479039,489005,568079,579742,800684,874609,1071448,1339374,1442680,1612347,1769545,1798025,2081966,2186305,2233529,2247538,2303346,8467358"
32660,"166554,181149,305091,361725,446229,463181,531001,658992,681470,867246,998313,1101948,1299365,1918727,2141878,2300795,2424516,2580687,2592020,7804328"
34150,"8369,28302,220899,476483,481572,867246,1101948,1270359,1609097,1918727,1947821,2141878,2141951,2214808,2300795,2465924,2523793,2541759,2880550,8467358"
34481,"23204,361725,428685,531001,531993,625734,1035814,1101948,1726761,1918727,2042862,2131332,2209477,2300795,2351675,2407015,2449615,2486212,4018390,7804328"
34751,"18790,28302,170357,220899,716862,867246,1325745,1720918,1918727,1947821,2214808,2295755,2351675,2407015,2465924,2473996,2486212,2523793,2575827,2636790"
34781,"16215,27252,28642,31479,178418,180295,181225,225988,256433,314830,314831,314889,316527,316995,321589,325332,327253,425968,436768,444540,475907,1224472,2362532,2380483,2424768,4879351,5234152,5810227"
36180,"6892,103890,126927,305091,433856,511793,709075,716862,971769,1098150,1214828,1769545,2131332,2318816,2352976,2407015,2409441,2463719,2486212,2614362"
36441,"305091,320427,473795,485757,610508,632089,709075,716862,828221,998313,1056685,1214828,1799031,2042862,2209477,2214811,2294752,2351675,2424516,2463719"
36540,"11936,103890,166554,306238,308364,428685,438783,473795,535707,548039,971769,1847162,1947821,2019613,2195786,2364305,2486212,2599190,2600001,2614362"
37171,"8369,18628,103890,212216,220837,253112,316274,320571,434500,1769545,1798025,2188318,2300795,2770245,2770246,3217618,4783621,5143300,5679028,8467358"
38191,"709075,931198,963108,1099092,1344342,1969035,2276715,2282999,2309325,2333501,2431253,2463719,2518267,2531030,2543558,2588712,2590944,2606099,2633172,2759493,2981512,3442984,3473137,4020358,4186987,4251067,4399360,4559044,4582531,4601407,4631788,4738624"
38641,"6209,8369,14534,99886,102824,168663,181149,239373,305091,681470,1745216,2019613,2248720,2303346,2324419,2603123,4210483,4563736,4707820,8467358"
38761,"5428,119763,305091,476483,625734,681470,716862,1074594,1098150,1523651,1720918,1798025,2209477,2237611,2287749,2303346,2352976,2457907,2541759,3756355"
39311,"4902,5428,253112,305091,306238,307596,308364,471857,473795,490598,1693894,2019613,2101235,2141878,2303346,2347744,2351675,2486212,2525634,3802522"
39531,"471255,657222,1098387,1751501,1814735,1842247,1879164,1970364,2238238,2306843,2311644,2334635,2373843,2425542,3276145,3728824,3744703,3956962,4673269,5014975,5156278"
39791,"103890,476688,569925,886017,1214828,1240867,1271808,1298391,1340374,1799031,1957553,2277015,2294752,2352976,2407015,2424516,2467103,2575023,3714595,3756355"
42771,"715,11623,25357,31876,420807,434281,476483,481572,1035814,1634440,1856623,1968152,2249952,2273648,2273687,2541759,3762178,4645801,4676071,8467358"
44331,"332,203506,219553,221769,269297,325176,325509,451173,520845,625942,697036,745541,811226,820259,2252044,2286863,2300795,2473995,2525634,5143948"
46211,"181149,241455,272375,282492,305091,430615,681470,722880,971769,1827664,1902534,2077927,2209477,2231328,2289156,2294752,2351675,2446042,2458413,2614362"
46571,"7083,36125,208467,213574,284225,313514,326221,478702,695616,901625,1241511,1266697,1380964,1817252,2083415,2321956,2577789,2598450,3763300,3864898,4227847,4344994,4397893,4627687,4763731,4839370,6317227,6578959"
46690,"715,11623,31876,462670,473795,481572,716862,1462299,1716595,1720918,1727705,1764339,1798025,1968152,2209477,2282887,2303346,2351675,2356900,4596382"
46830,"317,6892,8369,126927,181149,227782,428685,516805,1037723,1296115,2173497,2188258,2288797,2295424,2313030,3593485,4192171,4241299,4742035,7102447"
48541,"709075,716862,722880,1098150,1118435,1446974,1957553,2209477,2214811,2254913,2351675,2486212,2524593,2525634,2573241,3561457,4025413,4393285,4742296,5994997"
48910,"26808,220061,314421,317914,380766,444818,476409,492747,496381,501192,567921,830784,880301,901494,944631,1117860,1289825,1289826,1771445,1852291,2141893,2141914,2172589,2221900,2347531,2436845,2458410,2466552,2602511,3802381,4583212"
49331,"17761,98502,103890,104900,145975,321553,716862,851099,998313,1035814,1121649,1214828,1271808,1727705,2077927,2209477,2249202,2351675,2352976,2463719"
49511,"1079,18628,145975,181149,220837,389215,420807,428685,454134,535707,1035814,2212806,2249148,2290887,2352976,2424516,2494167,2770245,2770246,5679028"
49940,"2627,308364,454134,567105,1240867,1385630,1856383,1947821,2141878,2209477,2214808,2216349,2249460,2303346,2348085,2349719,2386096,2465924,2467103,2523793"
50081,"131885,168799,220899,261762,445699,480547,692712,840500,994186,1729089,1747999,1881560,2180196,2209477,2213219,2215245,2260524,2286120,2295644,2476564,2478341,2555490,2580409,2971894,3492988,3593485,3614500,3713620,3723760,3736495,3756355,3807991,3885046,3908218,4182385,4536226,4625218,4786513"
50311,"4902,103890,109613,114317,126927,181149,433856,625734,716862,1035814,1046376,1098150,1236348,1257072,1385630,2351675,2441836,2458413,2573241,3113920"
51031,"317,6892,220899,225238,308364,420807,428685,485757,681470,1074594,1118435,1856383,1947821,2294752,2303346,2578149,2580687,2970211,4210483,5143300"
51760,"8369,253112,321323,434096,556843,828221,868187,998313,1858824,2042862,2186305,2209477,2247819,2388641,2388642,2424516,2592020,4347745,4528741,5168293"
52220,"308364,364144,437626,490598,716862,867246,1074594,1385630,1720918,1918727,2129220,2141878,2294752,2300795,2303346,2347744,2349719,2486212,4387381,4606498"
52290,"122963,195678,214879,272375,444270,531550,634493,1043684,1241849,1242503,1836702,2145190,2290463,2327549,2370758,2374055,2379664,2454485,2473507,2599190"
52291,"19286,272375,321553,389215,454134,672384,1121649,1360858,1757592,1806413,1806628,1902534,2042862,2356900,2388640,2388641,2388642,2575859,2599062,3534874"
53720,"6664,18628,145975,181149,212216,220837,316346,458446,497654,625734,1098150,1858824,1918727,2300795,2407015,2454485,2573241,2770246,2941609,4686493"
53801,"154,10480,181062,308038,428685,1121649,2214811,2347744,2424516,2486212,2525634,2571359,2573241,3248050,3889051,3892480,4127287,4183999,4390105,8336450"
56431,"6892,169223,181004,215689,226126,248719,281919,305413,451458,828221,841490,887229,892049,1000384,1067412,1326209,2062812,2145221,2145383,2186189,2212806,2259706,2362320,2435139,2579670,2604421,2855761,2927122,3113920,3767155,3862957,4127287,4411279,4552681,4629616"
56450,"9567,18790,166554,236632,454134,489005,867246,1240867,1270359,1918727,1947821,2186305,2214808,2216349,2300795,2407015,2465924,2473996,2575827,3863911"
57160,"438811,473795,526891,567105,610508,1765573,1769545,1918727,2295424,2300795,2351675,3965272,4688575,4709710,4786513,4871275,4873309,4873717,5004199,5055814"
57190,"103890,321553,389215,709075,1037723,1046376,1074594,1271808,1785776,1806413,1806628,1858824,2077927,2178756,2186305,2286863,2295424,2312916,2463719,2880550"
57270,"325863,428685,556919,576260,625734,1098150,1120910,1329205,1788490,2131332,2209477,2297476,2351675,2376061,2448177,2486212,2579670,2930398,3497968,3723760"
58480,"119518,165652,260972,308810,365936,436305,461441,502072,502073,531619,548355,858433,1054635,1235985,1902640,2286461,2401711,2423399,2452711,2576785,4025416,4456168,4528741,4707820,4796224,5225860"
58760,"6892,103890,220899,272375,454134,709075,716862,1074594,1240867,1918727,2214808,2294752,2300795,2318816,2465924,2473996,2523793,2575827,2592020,2695946"
59261,"33078,180767,220797,242843,325374,420807,473795,489005,609758,1726761,1876718,1968152,2204724,2231328,2349719,2407430,2422126,3232549,5679028,6609733"
59280,"3026,18790,166554,170357,454134,485757,867246,986361,1240867,1726761,1871112,2214808,2216349,2344244,2465924,2473996,2523793,2575827,2952271,3273394"
59680,"20,103890,446229,454134,620361,681470,716862,962437,1074594,1856383,2101235,2141878,2248252,2286863,2294752,2368325,2466103,2694951,3756355,7804328"
59941,"6892,8369,30117,33078,454134,463181,473795,481572,1035814,1122607,1653700,1726761,1856383,2214808,2297476,2300795,2534924,2599190,3248050,5679028"
60200,"18628,96964,310046,361725,430839,434096,459282,554261,826458,2294752,2303346,2364305,2424257,2494167,2580687,2770245,2770246,4154878,5220724,7804328"
60640,"8369,18790,170357,220899,321553,428685,438783,485757,716862,971769,998313,1856383,1947821,2042862,2101235,2465924,2523793,2608564,2614362,4421068"
61221,"17822,20413,23234,26276,28463,32964,35664,101065,119169,172326,179416,187719,248930,306080,316478,454134,691377,2256927,2382577,2534991"
61660,"433856,620361,709075,716862,1056685,1118435,1214828,1239169,1271808,1353581,1446974,2209477,2249202,2351675,2425308,2486212,2524593,2551746,2573241,2879047"
62191,"17761,25357,145975,181149,183248,316274,364144,434096,454134,462710,481572,485757,689461,722880,1383813,1385630,1968152,2303346,2321956,8467358"
62331,"17422,30784,104507,165447,244674,305447,424356,478862,818265,851918,994308,1894464,2131294,2332921,2388495,2972212,4312630,4337416,4400458,4412509,4533016,4645795,4763845,4794718,4881763"
62411,"2107,5228,5428,6892,8369,11623,17761,30117,103890,316274,476483,481572,536767,671011,1273942,1653700,1769545,1968152,4127287,5679028"
62430,"181149,216878,248926,306238,319131,323176,323188,428685,434096,484504,610760,931342,1035814,1074594,1720918,2101235,2145791,2209477,2303346,2486212"
63201,"317,18790,220899,253463,420807,469587,485757,867246,1007643,1918727,1947821,2141878,2214808,2294752,2424516,2473996,2523793,2575827,4689457,5169220"
63651,"8369,126927,166554,181149,306238,321553,460012,473795,485757,490598,1035814,1266045,1273942,1612347,1902534,2042862,2231328,2592020,5143300,8467358"
63760,"166554,181149,321553,473795,531550,716862,1118443,1214828,1442680,1609097,1670299,1836702,1858824,2254913,2303346,2448177,2454485,2486212,2592020,3756355"
64030,"955,32858,102515,163858,175215,202113,397490,687810,1072853,1123314,1738984,2221788,2249353,2420229,2579707,2871904,2913142,2939854,3116707,4740859,5127778,5175001"
64131,"7022,15207,211871,219741,467703,543576,856994,1244867,1688524,1769924,1932068,2254712,2499124,2805259,3782440,3873358,4304989,4588942,4747273,5075707,5189284,5199790"
64240,"11936,145975,254097,531550,545784,551740,1037723,1281957,1281959,1858824,1876718,2214808,2310980,2319569,2339774,2370751,2420390,2599190,2600001,4421068"
64350,"409522,632633,716862,1319281,1421285,2053462,2199464,2242730,2351675,2486590,2573173,2573241,2575023,2580029,4421068,4456168,4645804,4704760,4710517,8336450"
65501,"18628,212216,220837,254097,367617,867246,1769545,1856383,2186305,2214808,2254913,2259490,2300795,2321956,2370751,2420390,2465924,2575827,2770245,5220724"
65611,"35888,35964,176596,315080,315087,430685,430759,449431,469320,566418,691258,1100855,1291293,1720918,1796985,1892268,1900041,2141878,2188578,2319060,2391259,2466329,2468582,2601113,4393606,8467358"
65850,"34134,417970,536767,620361,722880,1035814,1101948,1208914,1210137,1304930,1545820,1796985,1806628,1856383,1876718,1902534,2287749,2295424,2372666,2549358,2600001"
66941,"18716,449274,454015,483465,502420,838149,840112,959643,1306184,1315249,1775752,1788580,1796957,1813477,2088040,2243338,2268174,2313574,2364500,2380345,2388641,2388642,2573494,2590911,2590968,2692921,2753592,2770252,3170185,3419017,3916801,4717663,5114164,7102447"
67370,"99014,261762,319087,324209,369816,415771,426745,435925,468337,526989,819356,830644,850070,983038,1184263,1365398,1767256,2114037,2141900,2327394,2334112,2377325,2439586,2448594,2470496,2577789,2929999,2956444,3316468,3419017,3763300,3876415,3895213,4021861,4299403,4370989,4592638,4715593,4734628,5814187"
68911,"317,34134,126927,170357,220899,306238,389215,420807,459282,681470,1035814,1118435,1122585,1651678,1726761,1856383,2294752,2300795,2303346,5143300"
68920,"103890,166554,305091,420807,428685,454134,490598,722880,768651,1035814,1098150,1101948,1769545,2214808,2214811,2300795,2347744,2486212,2525634,4593664"
69340,"196603,306238,485757,488882,521832,538999,680199,846648,924266,971769,998313,1229855,1350519,1353337,1729986,2101235,2407015,2472725,2592020,2614362"
69360,"28302,220899,228442,306238,308364,473795,620361,625734,1037723,1074594,1198693,1725442,2178756,2215214,2294752,2347744,2446042,2466103,2522356,2955475"
69440,"197848,1197306,1201840,1786158,1862868,2129358,2133453,2344515,2347744,2407015,2483034,2573173,2573197,2587281,2600366,3113920,3262102,3766759,3878359,3959167"
69450,"220899,434096,531550,535707,681470,709075,998313,1037723,1240867,1271808,1353581,2180196,2195786,2300795,2351675,2407015,2443673,2524593,4336117,8467358"
70401,"8369,681470,716862,971769,1074574,1117148,1199109,1249436,1296128,2209477,2219880,2236294,2364305,2449615,2486212,2573241,2614362,3444913,4241293,5075707"
72641,"36960,545784,681470,716862,880735,1876718,2079241,2220485,2230955,2234272,2320063,2377702,2546832,2555402,2601884,2610454,2881846,3100582,3919762,6338356"
72731,"305157,473971,604877,1304162,1518091,2132440,2213967,2312916,2324419,2334077,2484994,2537847,2548806,2570798,2576730,2600001,2713521,2713522,2854561,3693250,3773965,3782401,3863968,3892507,4005610,4173142,4296223,4367893,4421068,4536226,4559413,4627999,4637704,4692667,4729273,4756027,4778437"
73111,"6892,145975,389215,473795,601691,681470,753628,768346,975314,1035814,1118435,1271808,1858824,2363618,2463719,3832351,4148944,5033308,5143300,6217021"
73330,"39666,253898,273610,308159,324114,447616,449070,474322,620490,746704,852273,897266,1905107,1919822,2221788,2232348,2261390,2261392,2374768,2553756,2571722,2762412,3127903,3561412,3614125,3720664,3766759,3769114,3791452,3827554,4283320"
73600,"722868,729387,843962,879227,1071268,1239524,2139170,2147637,2189574,2287669,2356546,2463176,2476663,2528301,2530524,2531569,2553809,2694951,2855425,3113920,4021843,4308466,4310095,4321345,6326923,6841975"
73711,"38040,305013,433856,681470,709075,722880,1037723,1271808,2209477,2214811,2249202,2294752,2295424,2351675,2463719,2525634,2563979,2573241,3113920,4542556"
73870,"428685,498218,610508,709075,722880,1229855,1446974,1449648,2209477,2309527,2351675,2379471,2463962,2592020,3442753,3959167,4177156,4268815,4885036,5806756"
73920,"8369,166554,272375,308364,446229,627330,681470,1037723,1121649,1785776,1858824,2019613,2195786,2294752,2347744,2364305,2420390,2524593,2599190,4305253"
74870,"15148,20169,20463,145975,166554,189796,233184,463181,523819,687894,690802,846904,1107105,1202451,1442680,1902534,2129220,2997640,3756355,4210483"
75021,"5428,8369,25357,196603,202555,313787,420807,433856,443649,481572,625734,716862,1856383,2209477,2295424,2449615,2468588,2486212,2599190,4285345"
75880,"11936,254097,463181,634493,680199,1035814,1118435,1385630,1856383,2195515,2254913,2286863,2352976,2370751,2420390,2466668,2534924,2592020,2600001,2759493"
76800,"23424,130903,197848,308655,438783,535707,868187,998313,1035814,1118435,1120962,1271808,1828235,2178756,2341451,2459218,2463719,2587281,2592020,3912937"
77100,"695,102747,113136,140661,210085,211871,289404,308569,456447,456564,459584,470981,496089,509482,545784,569244,686465,865126,1360858,1726328,1785776,1956402,2309718,2339679,2419047,2449615,2459164,2854540,2913157,3156373,4171597"
77120,"716862,955202,1342771,1360231,1446974,2030371,2209477,2292891,2344515,2351675,2391765,2407015,2486500,2524593,2525634,2573241,2805259,2896486,4370989,4727572"
77281,"272375,308364,430759,434096,463181,681470,716862,1037723,1609097,2209477,2214811,2294752,2351675,2391765,2407015,2486212,2524593,2525634,2573241,3113920"
77571,"8369,103890,126927,389215,420807,433856,573666,709075,719748,828221,998313,1118435,1240867,2077927,2294752,2388640,2388641,2388642,3534874,5679028"
78421,"317,8369,23204,33078,36206,272223,443570,449274,568079,572338,685915,800684,1215868,1300900,2142446,2254913,5143300,5679028,7804328,8467358"
79001,"1037723,1118435,2209477,2229477,2236959,2251771,2295424,2332590,2351675,2381501,2407015,2469397,2486212,2573241,2599190,2759493,2854876,3113920,4231300,5029678"
79211,"8369,308364,380428,608230,681470,716862,1037723,1291235,1798025,1856383,2141878,2221728,2252334,2260285,2286863,2347744,2356900,2486212,2556541,3232549"
79561,"166554,186099,272375,305091,374583,389215,420807,446229,501164,531550,1071448,1074594,1266045,1612347,1828235,2042862,2186305,2303346,3912937,5220724"
81510,"6540,16582,33605,114258,372749,461591,635239,709360,986361,992507,1202118,1328618,1869690,2167310,2175863,2182093,2182987,2186189,2238763,2314268,2454485,2462198,2531639,2577789,2606172,2978293,3758968,4150846,4321360,5104078,5136442,5139517,5245582,5260342"
83611,"21324,37177,166031,272375,410990,464889,992507,1035814,1118435,1593487,1726761,1727705,1769545,2076390,2297476,2349719,2375878,2614362,5143300,6609733"
83670,"145975,181149,446229,463181,1118435,1670299,1836702,2042862,2133453,2214811,2407015,2427627,2448177,2454485,2458413,2473507,2485599,2525634,4398385,8467358"
84440,"317,6034,16660,17433,37177,113763,573666,681470,868392,1670299,1727705,1836702,2037062,2101235,2129220,2167310,2295424,2352976,2448177,2473507"
84661,"18628,103890,166554,186099,212216,220837,272375,389215,531550,681470,1071448,1074594,1229855,1266045,1828235,2019613,2259490,2450746,2599190,2770246"
85771,"20413,26276,165529,186343,430490,854525,1313472,1376046,1774108,2107845,2113879,2232342,2254200,2311694,2425171,2524837,2605502,2854540,3113920,3843613,3984061,3986770,4621750,4686493,4763704,5170183"
86310,"103890,145975,253112,253863,272375,308364,434096,454134,470395,1035814,1332296,1675658,2141878,2145939,2186305,2295424,2368325,2454485,2459218,2486212"
86360,"208557,268148,313590,471655,504200,907401,1037723,1118435,1446974,1552688,1621599,2189558,2209477,2286863,2351675,2407015,2533501,2590119,2600001,3106303"
86440,"103890,531550,1037723,1056685,1098150,1240867,1364209,1918727,1990404,2214808,2286863,2300795,2356900,2372143,2486212,2524593,2525634,2534924,2592020,3469015"
86801,"25357,31099,166554,272375,428685,451029,693236,716862,889590,1796985,1918727,2101235,2214808,2214811,2300795,2371625,2486212,2525634,2573241,4268899"
87391,"145975,254097,305091,473795,620361,1098150,1462299,1726761,2186305,2212806,2232342,2370751,2420390,2525028,2534924,3190060,4199245,4599862,4625566,4665730"
88001,"145975,306238,308364,535707,722880,851032,998313,1037723,1121649,1214828,1350395,1462299,1769545,2101235,2318816,2347744,2352976,2378781,2443673,2486212"
89000,"11936,166554,434096,610508,1121649,1240867,1769545,1785776,1918727,2042862,2214808,2294752,2300795,2352976,2446042,2473996,2523793,2575827,2600001,4574755"
89060,"196603,308364,608894,655643,716862,958744,991769,1037723,1360858,1702280,2141951,2217790,2351211,2364500,2473078,2551876,2573241,2588406,3458644,3784666"
89100,"155386,178299,287299,464889,579692,1766441,1815749,1930294,2198457,2335450,2336691,2424823,2477640,2524340,2530551,2999419,3110293,3138100,3762766,3893386,4158526,4183798,4187392,4300480,4350955,4558900,4570090,4606357,4624741,4627963,4637704,4715851,4851130,5040679,5083609,5806756"
89870,"34134,170357,389215,428685,448508,722880,899688,1098150,1446974,1918727,1957553,2131332,2209477,2214808,2449615,2450614,2486212,2573241,2575023,4396279"
90580,"317,361725,434096,454134,822326,1037723,1796985,2209477,2214811,2351675,2407015,2424516,2452390,2459218,2524593,2525634,2541759,2550423,2587281,3113920"
90671,"28302,103890,126927,181149,272375,428685,473795,716862,2209477,2315422,2347744,2352976,2541759,2599190,2759493,3756355,4341919,5089333,5231413,7214353"
90680,"102824,145975,196603,272375,625734,709075,1118435,1360858,1670299,1785776,1811855,1836702,1858824,2019613,2351675,2448177,2454485,2458413,2473507,2518597"
91290,"9427,96964,117264,222369,320525,364144,424356,428685,436172,467221,479856,480866,529824,569925,1853413,2129220,2210751,2256249,2349719,2382709,2477640,2610570,3174526,3465649,3905386,3956962,4625173,4741888"
91640,"6892,34134,170357,181149,196603,315927,361725,446229,722880,1325745,1360858,1785776,1798025,2077927,2214808,2287749,2300795,2407015,2463590,2599190"
